,id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan,Unnamed: 0,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Picture,Blob,Street_Numb,Street_Name,Street_Suff
789,222460,7594818,3 Shaw Place,Prospect,2148,NSW,-33.798356,150.908132,house,600,1,1,1,TRUE,789,3,1,1,642,"$636,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/vpTQz9DAT7LtTty1sGVVD0MAkVWsi-T1rz9EGo3NYPQ1/3-shaw-place-prospect-nsw-2148_img2.jpg,"3 Shaw Place, Prospect 2148 NSW is a house. It has 3 bedrooms and 1 bathroom. The block size of this property is 601 square metres. ",3,Shaw,Place
792,4126266,7616697,29 Panorama Parade,Blacktown,2148,NSW,-33.777539,150.914772,house,569,4,4,2,TRUE,792,4,2,1,0,"$776,600", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/kHOCP_4MAUwiqEFGxyXLkRyoMANkA5t9IgE1gufwOO81/29-panorama-parade-blacktown-nsw-2148_img0.jpg,"29 Panorama Parade, Blacktown 2148 NSW is a house with brick veneer walls. This property has 4 bedrooms and 2 bathrooms. This house was last sold for $898,500 in March 2014. ",29,Panorama,Parade
793,864184,7643092,25 Hampton Crescent,Prospect,2148,NSW,-33.800762,150.915713,house,557,2,2,2,TRUE,793,3,2,2,557,"$796,667",Private Sale            , ,Apr-96, ,"$188,500", ,https://p360images.realestateview.com.au/default/25-hampton-crescent-prospect-nsw-2148-xl,"25 Hampton Crescent, Prospect 2148 NSW has 3 bedrooms and 2 bathrooms. It is a house with brick veneer walls. The land area of this property is 557 square metres. It last sold for $188,500 in April 1996. ",25,Hampton,Crescent
796,1976151,7662441,51 Bourke Street,North Parramatta,2151,NSW,-33.7941,151.005838,house,569,1,1,2,TRUE,796,3,1,2,577,"$1,148,333", ,Private Sale            , ,Jun-11, ,"$601,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/7ivl57VbqjVbuVXE3Mv0wfZLxMiHyzYmpJLGOvGz3q01/51-bourke-street-north-parramatta-nsw-2151_img0.jpg,"51 Bourke Street, North Parramatta 2151 NSW is a house. It has 3 bedrooms and 1 bathroom. The land area is 577 square metres. The last time this property sold was in 2011 for $601,000. ",51,Bourke,Street
798,4075567,7709342,50 Windermere Avenue,Northmead,2152,NSW,-33.778752,151.005229,house,,1,1,2,TRUE,798,3,1,2,0,"$1,032,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Gntvr90ewcNPSyBQiJKzJRjftBbon7ICUkewgWAXASI1/50-windermere-avenue-northmead-nsw-2152_img0.jpg,"50 Windermere Avenue, Northmead 2152 NSW is a house. It has 3 bedrooms and 1 bathroom. Its land area is 688 square metres. ",50,Windermere,Avenue
799,4073479,7711564,6 Bowral Street,North Rocks,2151,NSW,-33.775733,151.025607,house,758,2,2,2,TRUE,799,4,2,2,750,"$1,262,667",Auction            ,Private Sale            ,Jun-18,Jun-98,"$1,580,500","$225,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/v9UCj5fMSPU2sNrBRI6KXodSBTiYgElTnxyOUJxQaKo1/6-bowral-street-north-rocks-nsw-2151_img0.jpg,"6 Bowral Street, North Rocks 2151 NSW is a house with 4 bedrooms and 2 bathrooms. The size of this block is 750 sqm. Last time it sold, it went for $1,580,500, which was in June 2018. ",6,Bowral,Street
800,4070420,7717461,51 Greenleaf Street,Old Toongabbie,2146,NSW,-33.78751,150.97218,house,,3,3,4,TRUE,800,5,3,4,650,"$973,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/jgYoVHRD3Bqr7uzWgCu_sQQsFVtF7VvLGbvV3-ifCpg1/51-greenleaf-street-old-toongabbie-nsw-2146_img0.jpg,"This is a house in Old Toongabbie, 2146 with 5 bedrooms and 3 bathrooms. It is on a block of land that is 650 sqm. ",51,Greenleaf,Street
801,68489,7736605,42 Kerry Road,Blacktown,2148,NSW,-33.770808,150.88617,house,607,2,2,4,TRUE,801,4,2,3,0,"$762,109", ,Private Sale            , ,Jul-18, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/luyXBw-_cgi84_fIlQpGbM1zGu0q7-4cyLkeMDhiVkM1/42-kerry-road-blacktown-nsw-2148_img0.jpg,"42 Kerry Road, Blacktown 2148 NSW is a house. This property has 4 bedrooms and 2 bathrooms. It is on a block of land that is 599 square metres. In July 2018 this address sold for $636,000. ",42,Kerry,Road
804,1741102,7788856,49 Sparman Crescent,Kings Langley,2147,NSW,-33.754491,150.935914,house,717,2,2,1,TRUE,804,4,2,1,735,"$952,500",Private Sale            , ,Mar-06, ,"$445,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/PyH0sfY_bnG-NE19lvK3-Du7J__OqDQo0Kg_lGPQGRA1/49-sparman-crescent-kings-langley-nsw-2147_img0.jpg,"This is a house in Kings Langley, 2147 with 4 bedrooms and 2 bathrooms. Its block size is 735 sqm. Last time it sold was for $445,000, which was in March 2006. ",49,Sparman,Crescent
806,214905,7800125,12 Chircan Street,Old Toongabbie,2146,NSW,-33.785596,150.975276,house,556,1,1,1,TRUE,806,3,1,1,555,"$688,500",Private Sale            ,Private Sale            ,Jun-18,Mar-88,"$103,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/SkqVfNnX7sOVn-bm27PshAFrD_CeLDMAfkhBpbZmSQ81/12-chircan-street-old-toongabbie-nsw-2146_img0.jpg,"12 Chircan Street, Old Toongabbie 2146 NSW is a house with brick veneer walls. This property has 3 bedrooms and 1 bathroom. Its block size is 555 sqm. Last time it sold was for $790,000, which was in 2018. ",12,Chircan,Street
809,1222812,7826334,31 Rudolf Road,Seven Hills,2147,NSW,-33.787604,150.932087,house,682,1,1,1,TRUE,809,3,1,1,688,"$670,000",Private Sale            ,Private Sale            ,Nov-06,Sep-91,"$320,000","$134,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/pNIgEib2H9qT9LkKORuStEs6BPFFUY8zCVK_DCZCJcw1/31-rudolf-road-seven-hills-nsw-2147_img0.jpg,"31 Rudolf Road is a house in Seven Hills with 3 bedrooms and 1 bathroom. Its postcode is 2147. The land area of this property is 688 square metres. In November 2006 this property sold for $320,000. ",31,Rudolf,Road
814,3084945,7860924,12 Hadrian Avenue,Blacktown,2148,NSW,-33.787808,150.917339,house,556,3,3,2,TRUE,814,3,3,2,558,"$533,333",Private Sale            , ,Nov-07, ,"$142,500", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/puMjQacombVdVJWHMZ_kys1mnqOVv_36NnV0F-TqvC41/12-hadrian-avenue-blacktown-nsw-2148_img0.jpg,"12 Hadrian Avenue, Blacktown 2148 NSW is a house. This property has 3 bedrooms and 3 bathrooms. This is on a 558 square metre block of land. This house previously sold for $142,500 in November 2007. ",12,Hadrian,Avenue
817,128465,7873366,22 Favell Street,Toongabbie,2146,NSW,-33.791697,150.962349,house,619,3,3,2,TRUE,817,5,3,2,639,"$822,333",Private Sale            ,Private Sale            ,May-14,Apr-85,"$655,000","$50,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/4-3qmSy9PPXSlfaQThzmPbkmMdqn0ZDd8kxTFl2WuaE1/22-favell-street-toongabbie-nsw-2146_img0.jpg,"22 Favell Street, Toongabbie 2146 NSW is a house with 5 bedrooms and 3 bathrooms. It has brick veneer walls. This is on a 639 sqm block of land. According to our data, this was last sold for $655,000 in May 2014. ",22,Favell,Street
821,3518535,7921128,28 Cornelia Road,Toongabbie,2146,NSW,-33.786846,150.94592,house,727,1,1,1,TRUE,821,0,0,0,722,"$663,333", , , , , , ,https://p360images.realestateview.com.au/default/28-cornelia-road-toongabbie-nsw-2146-xl,"28 Cornelia Road, Toongabbie 2146 NSW is a house with 3 bedrooms and 1 bathroom. This property is on a 722 sqm block of land. ",28,Cornelia,Road
825,68461,7941230,76 Lancaster Street,Blacktown,2148,NSW,-33.773964,150.89127,house,,2,2,2,FALSE,825,4,2,2,833,"$751,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/-lz7DdtFSJxMniL3WTHLquLdLwMpsxAfRvS9Ig9j8MU1/76-lancaster-street-blacktown-nsw-2148_img0.jpg,"76 Lancaster Street, Blacktown 2148 NSW is a house. It has 4 bedrooms and 2 bathrooms. This is on a 833 square metre block of land. ",76,Lancaster,Street
829,216238,7994351,14 Orinoco Close,Seven Hills,2147,NSW,-33.78946,150.92879,house,575,1,1,1,TRUE,829,3,1,1,582,"$670,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/vGb4pLr0Jn_ss7pPXh0ZuDtM-oBFk78qfbTwxLX9hKU1/14-orinoco-close-seven-hills-nsw-2147_img0.jpg,"14 Orinoco Close, Seven Hills 2147 NSW is a house with 3 bedrooms and 1 bathroom. This property is on a 582 sqm block of land. ",14,Orinoco,Close
831,3899605,8029411,13 Panaview Crescent,North Rocks,2151,NSW,-33.777226,151.030674,house,790,3,3,2,TRUE,831,5,3,2,751,"$1,431,667",Private Sale            ,Private Sale            ,Jun-07,Feb-02,"$749,000","$590,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/xLwvdUIm143pOzDoDPhG1wEXzBw2OO-PXkvEaGla0bc1/13-panaview-crescent-north-rocks-nsw-2151_img0.jpg,"13 Panaview Crescent, North Rocks 2151 NSW is a house. It has 5 bedrooms and 3 bathrooms. This is on a 751 sqm block of land. This house last sold for $749,000 in June 2007. ",13,Panaview,Crescent
832,1188589,8037168,15 Braddon Street,Blacktown,2148,NSW,-33.780379,150.887998,house,752,1,1,1,TRUE,832,3,1,1,742,"$615,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/q4GvB17A4ab3bPFvYgZwOxuBQImew_ZspcVrEK3Pql41/15-braddon-street-blacktown-nsw-2148_img0.jpg,"15 Braddon Street, Blacktown 2148 NSW is a house. It has 3 bedrooms and 1 bathroom. The block size of this property is 742 sqm. ",15,Braddon,Street
833,214903,8039992,17 Lennox Street,Old Toongabbie,2146,NSW,-33.794869,150.965454,house,592,2,2,3,TRUE,833,0,0,0,0,"$736,684", , , , , , ,https://p360images.realestateview.com.au/default/17-lennox-street-old-toongabbie-nsw-2146-xl,This is on a 591 square metre block of land. ,17,Lennox,Street
834,510746,8061113,135 Vardys Road,Lalor Park,2147,NSW,-33.754113,150.930518,house,556,2,2,2,TRUE,834,3,2,2,553,"$727,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/JG30NYX8ly716WzMG43HcXIj2yF4m5krB3Yu7U6bf681/135-vardys-road-lalor-park-nsw-2147_img0.jpg,"135 Vardys Road, Lalor Park 2147 NSW is a house. This property has 3 bedrooms and 2 bathrooms. This property is on a 553 sqm block of land. ",135,Vardys,Road
838,68417,8105863,12 Birnam Avenue,Blacktown,2148,NSW,-33.768932,150.884649,house,,1,1,2,FALSE,838,3,1,2,676,"$611,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/hKI-F6KRTAFleenW3nxOWUCVIT4xMbQk-uRW1u31SRA1/12-birnam-avenue-blacktown-nsw-2148_img0.jpg,"This is a house in Blacktown, 2148 with 3 bedrooms and 1 bathroom. It is on a block of land that is 676 square metres. In June 2004 this address sold for $357,000. ",12,Birnam,Avenue
842,3117110,8157242,22 Northam Drive,North Rocks,2151,NSW,-33.77784,151.0274,house,695,2,2,2,TRUE,842,4,2,2,677,"$1,392,833",Auction            , ,May-14, ,"$900,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/lQENcDN5MoF9Y8E5cFdTUMxbDtrMw5o_ZLc4nRLM3J81/22-northam-drive-north-rocks-nsw-2151_img0.jpg,"22 Northam Drive, North Rocks 2151 NSW is a house. This property has 4 bedrooms and 2 bathrooms. It is on a block of land that is 677 square metres. In May 2014 this address sold for $900,000. ",22,Northam,Drive
845,1186004,8183255,42A SCOTT STREET,Toongabbie,2146,NSW,-33.794308,150.958505,house,325,2,2,1,FALSE,845,3,2,1,326,"$706,000", ,Private Sale            , ,Oct-14, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/A27UVCsogiG90pvvkq0k79JFxQYrG_hL2AEhkLw2FZk1/42a-scott-street-toongabbie-nsw-2146_img0.jpg,"42A Scott Street, Toongabbie 2146 NSW is a house. This property has 3 bedrooms and 2 bathrooms. This property is on a 326 sqm block of land. When it last sold in October 2014, it went for $775,000. ",42A,SCOTT,Street
847,214295,8205594,4 Stuart Mould Crescent,Lalor Park,2147,NSW,-33.758634,150.927745,house,,1,1,1,TRUE,847,3,1,1,0,"$681,667", ,Private Sale            , ,Jul-07, ,"$285,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/wpNCTOdl7EUDeetsIcVkI2Z0qNtVckdcZlpTS6DIqyM1/4-stuart-mould-crescent-lalor-park-nsw-2147_img0.jpg,"This is a house in Lalor Park with 3 bedrooms and 1 bathroom. Its postcode is 2147. Its block size is 553 sqm. In July 2007 this sold for $285,000. ",4,Stuart Mould,Crescent
851,3745538,8229188,2A Una Place,Toongabbie,2146,NSW,-33.79381,150.95996,house,544,2,2,1,TRUE,851,0,0,0,552,"$703,333",Private Sale            , ,Mar-16, ,"$600,000", ,https://p360images.realestateview.com.au/default/2a-una-place-toongabbie-nsw-2146-xl,"Its land area is 552 square metres. Last time it sold was for $600,000, which was in February 2016. ",2A,Una,Place
853,326889,8276658,94 Crudge Road,Marayong,2148,NSW,-33.753765,150.8976,house,695,1,1,0,FALSE,853,2,1,0,715,"$538,333", ,Private Sale            , ,Jun-18, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/uWpLKRHs8e-ZN9AtNwQIw49QI6-mAs9-1owhmX28Pn81/94-crudge-road-marayong-nsw-2148_img0.jpg,"94 Crudge Road is a house in Marayong with 2 bedrooms and 1 bathroom. Its postcode is 2148. This property is on a 715 square metre block of land. This house previously sold for $608,500 in June 2018. ",94,Crudge,Road
854,1456722,8283171,139 Richmond Road,Marayong,2148,NSW,-33.75696,150.894346,house,689,1,1,0,FALSE,854,2,1,0,691,"$534,167", ,Auction            , ,May-07, ,"$230,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/qLMq5KlZN5z0UncHQmSiD3e8FpCBEHGU3ej86RF4S0w1/139-richmond-road-marayong-nsw-2148_img0.jpg,"139 Richmond Road, Marayong 2148 NSW is a house with 2 bedrooms and 1 bathroom. The land area of this property is 691 sqm. This house previously sold for $230,000 in May 2007. ",139,Richmond,Road
857,124452,8322510,6A Osborne Road,Marayong,2148,NSW,-33.755334,150.895627,house,,1,1,1,FALSE,857,3,1,1,502,"$579,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/dw_2VAHbFjIqIbApQL34DTWaCDjWDej0zy4HIthqafU1/6a-osborne-road-marayong-nsw-2148_img0.jpg,This is a house in Marayong with 3 bedrooms and 1 bathroom. Its postcode is 2148. ,6A,Osborne,Road
864,1166859,8405433,237 Madagascar Drive,Kings Park,2148,NSW,-33.742095,150.913111,house,,1,1,2,TRUE,864,4,1,2,552,"$729,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/KH0gEo0BZpUfjX_7op_h7L_JbVyaxOibhjpF9ouzzVY1/237-madagascar-drive-kings-park-nsw-2148_img0.jpg,"237 Madagascar Drive, Kings Park 2148 NSW is a house with 4 bedrooms and 1 bathroom. This property is on a 574 square metre block of land. ",237,Madagascar,Drive
866,37148,8411945,6 Keppel Street,Kings Langley,2147,NSW,-33.747795,150.9282,house,,2,2,3,TRUE,866,4,2,3,680,"$944,167",Private Sale            ,Private Sale            ,Jan-09,Nov-99,"$475,000","$292,500",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/l41leEHmS3kFKW259f3xTRvpIV5uIWwpJTPrK3J6qQc1/6-keppel-street-kings-langley-nsw-2147_img0.jpg,"6 Keppel Street, Kings Langley 2147 NSW is a house with 4 bedrooms and 2 bathrooms. The block size is 680 sqm. The last time this property sold was in 2009 for $475,000. ",6,Keppel,Street
868,3898514,8429474,32 Johnson Avenue,Seven Hills,2147,NSW,-33.76118,150.94225,house,556,3,3,3,TRUE,868,4,3,3,555,"$845,000", ,Private Sale            , ,May-98, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/fzY_Mty8WTPvXkX49JGQSLzsavyVremNd7pb1UyESjw1/32-johnson-avenue-seven-hills-nsw-2147_img0.jpg,"32 Johnson Avenue, Seven Hills 2147 NSW is a house. It has 4 bedrooms and 3 bathrooms. The block size of this property is 555 sqm. Our records show that this was last sold in December 2015 for $675,000. ",32,Johnson,Avenue
869,193722,8432769,47 Harold Street,North Parramatta,2151,NSW,-33.805385,151.009906,house,,1,1,1,TRUE,869,3,1,1,386,"$993,333",Private Sale            , ,Jun-18, ,"$1,042,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/UCHzZvLKyalp6LLYk_mRz4chF2af6YdJnDPfWnUAMAw1/47-harold-street-north-parramatta-nsw-2151_img0.jpg,"47 Harold Street, North Parramatta 2151 NSW is a house. It has 3 bedrooms and 1 bathroom. This property is on a 386 square metre block of land. According to our data, this was last sold for $1,042,000 in June 2018. ",47,Harold,Street
870,2937692,8434644,214 North Rocks Road,North Rocks,2151,NSW,-33.778279,151.011937,house,701,2,2,4,TRUE,870,4,2,4,704,"$978,667",Auction            ,Private Sale            ,May-13,Apr-06,"$690,000","$232,500",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/7puJEt4crzvJFXzZ5u61th89uMSjiRa6ow8Zokua_VQ1/214-north-rocks-road-north-rocks-nsw-2151_img0.jpg,"214 North Rocks Road, North Rocks 2151 NSW is a house. It has 4 bedrooms and 2 bathrooms. It is on a block of land that is 704 square metres. According to our data, this was last sold for $690,000 in May 2013. ",214,North Rocks,Road
872,2121595,8460433,33 Daraya Road,Marayong,2148,NSW,-33.752221,150.894273,house,733,3,3,1,TRUE,872,1,1,0,0,"$728,776", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/wS2Zpwoorxj8Xom_9m7vQ_RjguREsWf6ghASfgjivcs1/33-daraya-road-marayong-nsw-2148_img0.jpg,This is a house in Marayong with 4 bedrooms and 3 bathrooms. Its postcode is 2148. The land area of this property is 735 sqm. ,33,Daraya,Road
874,68381,8463530,57A Balmoral Street,Blacktown,2148,NSW,-33.775571,150.901067,house,989,2,2,2,TRUE,874,3,2,2,1024,"$674,000", ,Private Sale            , ,Jul-18, , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/lbAqwhr7PD75dGpgtQBrIGINcmB620uGyfkhD1w2Ulg1/57a-balmoral-street-blacktown-nsw-2148_img0.jpg,"57A Balmoral Street, Blacktown 2148 NSW is a house with brick veneer walls. This property has 3 bedrooms and 2 bathrooms. The block size is 1024 square metres. When it last sold in July 2018, it went for $725,000. ",57A,Balmoral,Street
880,28723,8482135,1 Kauai Place,Kings Park,2148,NSW,-33.742233,150.911124,house,559,1,1,1,TRUE,880,4,1,1,567,"$729,333",Private Sale            , ,Sep-15, ,"$730,000", ,https://p360images.realestateview.com.au/default/1-kauai-place-kings-park-nsw-2148-xl,"1 Kauai Place, Kings Park 2148 NSW is a house. It has 4 bedrooms and 1 bathroom. The land area of this property is 559 square metres. Last time it sold, it went for $730,000, which was in September 2015. ",1,Kauai,Place
881,3286665,8483868,4 Curtis Place,Kings Park,2148,NSW,-33.739147,150.90662,house,557,1,1,1,TRUE,881,3,1,1,536,"$643,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/KGe7VCGr4Irjqm5eGLOgTCglfnMBkr0mCq1H5Qbf1RA1/4-curtis-place-kings-park-nsw-2148_img0.jpg,This is a house in Kings Park with 3 bedrooms and 1 bathroom. Its postcode is 2148. Its land area is 558 sqm. ,4,Curtis,Place
883,337862,8485358,64 Redbank Road,Northmead,2152,NSW,-33.793589,150.988965,house,834,1,1,1,TRUE,883,3,1,1,852,"$911,667",Private Sale            , ,Jul-18, ,"$1,010,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/XNustvDnRqet74QUes8vT7fR6iGC5Bi13tA1KbDwMsw1/64-redbank-road-northmead-nsw-2152_img0.jpg,"This is a house in Northmead with 3 bedrooms and 1 bathroom. Its postcode is 2152. Its block size is 852 sqm. In July 2018 this property sold for $1,010,000. ",64,Redbank,Road
885,3724603,8494499,31 Clifton Street,Blacktown,2148,NSW,-33.76803,150.913766,house,526,1,1,1,TRUE,885,3,1,1,526,"$730,833", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/HojjHN8FDGlKcpbpdzpC39M74oT1uo6yygs_1Pz2WfE1/31-clifton-street-blacktown-nsw-2148_img0.jpg,"31 Clifton Street is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. It is on a block of land that is 526 sqm. In August 2003 it sold for $180,000. ",31,Clifton,Street
886,28722,8503832,72 Madagascar Drive,Kings Park,2148,NSW,-33.738937,150.90204,house,561,4,2,1,TRUE,886,4,2,1,545,"$674,000",Private Sale            ,Private Sale            ,Jun-06,Aug-91,"$392,000","$154,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/Qo1NmhH9425ucS9xctOGVdkesC9Y8rDj-fhZ07LFfEM1/72-madagascar-drive-kings-park-nsw-2148_img0.jpg,"This is a house in Kings Park, 2148 with 4 bedrooms and 2 bathrooms. Its land area is 562 sqm. 72 Madagascar Drive Kings Park last sold for $392,000 in June 2006. ",72,Madagascar,Drive
887,1947370,8515328,8 Melody Street,Toongabbie,2146,NSW,-33.782863,150.948072,house,645,2,2,2,TRUE,887,5,2,2,637,"$836,667",Private Sale            , ,Aug-14, ,"$615,501", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/iAJtgA3wM7rCYZWHwRc6ADc_RelDZsv6J_hfm55TPhQ1/8-melody-street-toongabbie-nsw-2146_img0.jpg,"8 Melody Street is a house in Toongabbie with 5 bedrooms and 2 bathrooms. Its postcode is 2146. It is on a block of land that is 637 sqm. In July 2014 it sold for $615,501. ",8,Melody,Street
890,2234355,8555681,22 Malcolm Street,Blacktown,2148,NSW,-33.782282,150.911139,house,619,1,1,2,TRUE,890,3,1,2,629,"$582,167", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/y2yERyRCSC8ydtfc1K_6ZcxplkFqDmJrUlomGhScXWg1/22-malcolm-street-blacktown-nsw-2148_img0.jpg,This is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. The land area is 629 square metres. ,22,Malcolm,Street
892,3841596,8572392,3 Pineleigh Road,Lalor Park,2147,NSW,-33.763942,150.942312,house,562,1,1,4,TRUE,892,4,1,4,552,"$797,000",Private Sale            , ,Apr-99, ,"$175,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/a70yV9FLELkFCmI74BeEPBDeDG5hAlV6LcOUlxEGA3Q1/3-pineleigh-road-lalor-park-nsw-2147_img0.jpg,"3 Pineleigh Road, Lalor Park 2147 NSW is a house with 4 bedrooms and 1 bathroom. Its block size is 552 square metres. Last time it sold, it went for $175,000, which was in 1999. ",3,Pineleigh,Road
893,68252,8573802,16 Glamorgan Street,Blacktown,2148,NSW,-33.785615,150.909207,house,556,2,2,1,TRUE,893,2,2,1,564,"$624,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/AanbyfjdAA7JKxvrL3VWSfqy5XnWeGUMO5nGswgdjzA1/16-glamorgan-street-blacktown-nsw-2148_img0.jpg,"16 Glamorgan Street is a house in Blacktown with 2 bedrooms and 2 bathrooms. Its postcode is 2148. It is on a block of land that is 564 sqm. According to our records, this last sold for $290,000 in February 2003. ",16,Glamorgan,Street
898,2426739,8614399,45 Donohue Street,Kings Park,2148,NSW,-33.73757,150.90172,house,578,1,1,1,TRUE,898,3,1,1,603,"$643,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/87DtteugW1qxM3mjHhyQFKHx5mdytYQ2qYqnDfZpXlM1/45-donohue-street-kings-park-nsw-2148_img0.jpg,"45 Donohue Street, Kings Park 2148 NSW is a house. This property has 3 bedrooms and 1 bathroom. Its block size is 578 sqm. According to our records, this last sold for $375,000 in October 2005. ",45,Donohue,Street
899,216230,8631356,17 Veronica Crescent,Seven Hills,2147,NSW,-33.759596,150.944762,house,,3,3,2,TRUE,899,5,3,2,549,"$1,118,333", ,Auction            , ,Sep-13, ,"$700,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/9ScWkYlctjclinAtiZ9LiIduHJSZx-Scv4Ijd4bbM0A1/17-veronica-crescent-seven-hills-nsw-2147_img0.jpg,"17 Veronica Crescent, Seven Hills 2147 NSW is a house with 5 bedrooms and 3 bathrooms. This is on a 549 square metre block of land. Our records show that this was last sold in June 2018 for $998,000. ",17,Veronica,Crescent
904,2751700,8715587,25 Kerry Road,Blacktown,2148,NSW,-33.770498,150.887642,house,607,2,2,2,TRUE,904,4,2,2,598,"$762,109",Private Sale            , ,Dec-93, ,"$116,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/CInsaWpKyALii6ltqLY-5OFJL-ykoTKLKEhncx9awJE1/25-kerry-road-blacktown-nsw-2148_img0.jpg,"25 Kerry Road, Blacktown 2148 NSW is a house with 4 bedrooms and 2 bathrooms. This property is on a 598 sqm block of land. It was last sold in December 1993 for $116,000. ",25,Kerry,Road
907,68392,8730520,66 Sackville Street,Blacktown,2148,NSW,-33.764202,150.91411,house,740,4,4,2,FALSE,907,0,0,0,0,"$665,000", , , , , , ,https://p360images.realestateview.com.au/default/66-sackville-street-blacktown-nsw-2148-xl,66 Sackville Street is a house in Blacktown with 7 bedrooms and 4 bathrooms. Its postcode is 2148. The block size of this property is 739 sqm. ,66,Sackville,Street
908,1976163,8735622,28 Seville Street,North Parramatta,2151,NSW,-33.794793,151.003609,house,493,3,3,2,TRUE,908,3,3,2,526,"$1,002,500",Private Sale            ,Private Sale            ,Mar-13,Dec-09,"$960,000","$880,000",https://p360images.realestateview.com.au/default/28-seville-street-north-parramatta-nsw-2151-xl,"This is a house in North Parramatta, 2151 with 3 bedrooms and 3 bathrooms. The land area of this property is 526 sqm. In March 2013 this sold for $960,000. ",28,Seville,Street
910,1801192,8766729,20 Palona Street,Marayong,2148,NSW,-33.742901,150.892363,house,622,1,1,2,FALSE,910,3,1,1,622,"$600,667",Private Sale            , ,Mar-91, ,"$134,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/6mSPIcwBmcn-6SAasGuRuMFBDrZm64_plvvojYwATVg1/20-palona-street-marayong-nsw-2148_img0.jpg,"This is a house in Marayong with 3 bedrooms and 1 bathroom. Its postcode is 2148. This property is a slightly sloped block of land that is 622 metres squared. According to our data, this was last sold for $134,000 in March 1991. ",20,Palona,Street
915,1997408,8783579,7 Leslie Street,Blacktown,2148,NSW,-33.781254,150.89027,house,,1,1,2,TRUE,915,3,1,1,569,"$615,667", ,Private Sale            , ,Sep-17, ,"$680,000",https://p360images.realestateview.com.au/default/7-leslie-street-blacktown-nsw-2148-xl,"This is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. Its land area is 569 square metres. Last time it sold was for $680,000, which was in September 2017. ",7,Leslie,Street
